"grids","PE","sd_ALT","sd_MAP","sd_MAT","sd_NPP","lon","lat"
"v1",80.0387462504939,181.627375543885,499.583387269072,6.05010782374489,210847222280.528,-8087952.2299,1097669.6737
"v1039",69.8253963825443,617.912595321385,175.090997618849,32.6032343979595,129473653394.955,2912047.7701,97669.6736999992
"v10515",166.809426858729,327.39131366549,136.888157929248,11.9024026688302,154138220950.812,1812047.7701,-4102330.3263
"v10516",102.460234583947,263.737813962263,102.954649636202,9.98424779746626,77408831253.2082,1912047.7701,-4102330.3263
"v10844",75.1752536493036,74.35933799295,127.679375753085,2.36760585327545,248731349765.507,11312047.7701,-4202330.3263
"v1091",139.304510113812,111.011766068424,669.312333120554,4.77886965663796,89842688905.8752,-7687952.2299,-2330.32630000077
"v1092",371.070125768613,1067.58362704289,823.496305349026,49.4318826291284,73645719608.6279,-7587952.2299,-2330.32630000077
"v1093",315.302791627743,1214.44087265057,968.214533566976,61.2941769140605,281308660012.35,-7487952.2299,-2330.32630000077
"v114",154.820044043281,328.457448057868,439.644224162134,16.2137188400279,66243441022.0685,-7487952.2299,997669.673699999
"v115",80.483163850229,267.416970041392,479.332075885213,11.5611354482959,95536064705.9254,-7387952.2299,997669.673699999
"v119",113.134450668442,800.518599147777,542.843891962146,44.3763291929128,144377317995.678,-6987952.2299,997669.673699999
"v1194",80.3197986843257,151.773026534784,527.258905983871,7.95194680199014,87504541377.5512,-7687952.2299,-102330.326300001
"v1195",233.600762862489,923.146213806716,531.190633054088,46.2714360726949,63979534479.6136,-7587952.2299,-102330.326300001
"v11955",94.8800402275986,226.327388281303,110.360398868936,10.5804170619829,28418516289.0861,-8087952.2299,4197669.6737
"v1196",263.549856185725,950.522006307582,820.187171995427,46.1360393922515,268424837836.674,-7487952.2299,-102330.326300001
"v1197",74.6823012903477,34.70808947869,100.72783710523,2.42811977828815,7005366963.30499,-7387952.2299,-102330.326300001
"v120",96.5212166133846,791.287401945563,440.504742891086,44.9371279293513,129586568668.013,-6887952.2299,997669.673699999
"v13",231.660584709691,1301.25624779733,259.955983287803,72.8377475971145,150159809724.701,-6887952.2299,1097669.6737
"v1300",218.843119240544,823.094881542663,553.895539989113,40.94348829708,90928921441.6768,-7587952.2299,-202330.326300001
"v1301",170.222745699914,328.773565568181,409.036925955185,16.0410947552928,69074181307.9844,-7487952.2299,-202330.326300001
"v13158",116.713650210283,957.030126285296,376.353890732837,42.3963021871028,136227207085.583,9212047.7701,3597669.6737
"v138",120.435140554645,113.76427394979,171.753293560726,5.01781207432256,26098989776.1664,-787952.229899999,997669.673699999
"v13845",68.311622014214,557.590390321791,99.8811924859264,23.9528180702759,49381641376.4351,9112047.7701,3197669.6737
"v14",105.183167775046,1086.44691310648,383.69463733818,61.4915024941871,157463211681.831,-6787952.2299,1097669.6737
"v1400",137.381573898469,266.57346624799,170.198651317712,9.17754470437827,354382101408.052,13112047.7701,-202330.326300001
"v14011",130.318521583789,501.270692951424,596.162452453313,26.0475500083698,98351567054.504,8912047.7701,3097669.6737
"v14012",75.9480662811152,496.457902031454,393.836825209264,22.4537801197634,131093464641.754,9012047.7701,3097669.6737
"v1411",83.0250747081785,727.830415278271,419.870923889492,32.0038115697268,65701805774.4988,-7687952.2299,-302330.326300001
"v1412",207.567158887356,1021.91992248292,730.466815142055,51.6952274125521,177188871698.349,-7587952.2299,-302330.326300001
"v1413",99.2267924728468,421.967135085163,255.07126567788,18.8388946135252,32865315419.7801,-7487952.2299,-302330.326300001
"v14484",84.8264975178226,597.315158443876,180.857503550592,27.3101251142353,71485755244.8422,10012047.7701,2797669.6737
"v14660",73.6241642751211,629.995959085027,362.929997384559,32.7154230971947,85601952237.9502,-9487952.2299,2597669.6737
"v1467",132.82467815773,353.621496164476,189.060919744967,17.2190361557582,101194858716.289,2812047.7701,-302330.326300001
"v14804",100.261815535156,947.314072325729,653.591761070957,43.7525525044632,103986755183.351,-9387952.2299,2497669.6737
"v14813",147.236979894518,307.835282538291,153.95146450399,16.0538906742369,260522647810.899,-7387952.2299,2497669.6737
"v14949",82.0879820812515,629.286046310482,188.84201162091,38.6472811951222,80377692423.8678,-9587952.2299,2397669.6737
"v14951",192.310896517877,738.197708992287,620.458963057372,32.1857480555921,151597051569.953,-9387952.2299,2397669.6737
"v14969",85.7743073123264,525.154475869858,230.545109287121,35.3532174791723,60578261646.6421,-6887952.2299,2397669.6737
"v14971",69.4512609531782,510.514814511692,266.330832401729,33.3679766228446,140754451274.997,-6787952.2299,2397669.6737
"v15077",73.987184619008,230.256720213086,117.307960628392,9.30579834492807,97213176710.0237,10612047.7701,2397669.6737
"v15094",110.783268636076,551.878734806211,724.488205842749,26.4953301739868,192227453355.585,-9387952.2299,2297669.6737
"v15096",106.664255283318,237.494737103093,608.000954529769,13.5005055581793,71391029077.5962,-9187952.2299,2297669.6737
"v15109",81.5236982577598,235.804799361122,318.20075260814,15.9899820662417,230539561242.399,-7487952.2299,2297669.6737
"v15111",93.1488806628806,322.263655413775,503.169064616218,14.270053127911,289891151102.871,-7387952.2299,2297669.6737
"v15114",158.025061345661,370.209381330497,157.216457152385,18.8494469687309,242244325074.615,-7187952.2299,2297669.6737
"v15116",140.655002755464,256.492769875401,370.985928013801,12.6866988665515,204982387480.058,-7087952.2299,2297669.6737
"v15118",127.051864750043,505.466172677289,263.996355394658,27.3813063093262,121764690665.615,-6987952.2299,2297669.6737
"v15120",113.002656848903,521.278780566371,336.938263107979,32.907885849391,168345279030.22,-6887952.2299,2297669.6737
"v15125",77.2894502180471,204.704313441507,472.765397190078,11.9859039768203,339592691049.216,-6487952.2299,2297669.6737
"v15126",144.346212304226,231.880403664833,393.018231633438,14.3681371728786,264090353194.848,-6387952.2299,2297669.6737
"v15272",67.7084675818589,212.806451028869,113.345461563106,8.96267407887471,240089045187.57,10612047.7701,2297669.6737
"v1528",94.4506704389667,1366.10373704722,221.66324617702,63.429574956109,43946441448.7416,-7687952.2299,-402330.326300001
"v1529",256.585662777079,862.590330840836,863.136102180374,45.1069462059682,221902344585.538,-7587952.2299,-402330.326300001
"v15305",132.20184277231,716.500873066019,194.897379645595,33.7572769769528,64461574843.0372,-9687952.2299,2197669.6737
"v15306",68.7397430092112,507.876653591699,300.558634952243,21.3309201579018,38656523376.0787,-9587952.2299,2197669.6737
"v15309",253.740956719136,876.918904752337,894.313945317249,39.204294939269,74257741963.4968,-9287952.2299,2197669.6737
"v15312",90.4633477870233,470.839560704213,615.946175198546,21.321777259238,80546105481.7678,-8987952.2299,2197669.6737
"v15451",70.6502654380607,319.520366400214,1157.23882814926,13.8602120533361,50519042367.0667,7112047.7701,2197669.6737
"v15556",86.484847972052,415.285562454099,404.230350886007,21.3329982618367,129046472820.674,-9087952.2299,2097669.6737
"v15557",109.256743203398,429.084883273576,232.182723993336,21.169189771173,88350909394.8407,-8987952.2299,2097669.6737
"v15558",68.6908181565639,517.773909583695,485.730800563773,29.0126817821022,102118722130.53,-8887952.2299,2097669.6737
"v1585",79.6820224164815,389.025224143143,112.433602593327,17.7757588805741,137180537422.08,2712047.7701,-402330.326300001
"v1586",99.8670457921109,699.953513770633,365.045405440088,41.1815175738015,51570191959.1072,2812047.7701,-402330.326300001
"v15899",83.7024856445032,510.885248781724,411.345193665768,23.0956402903529,131242211271.274,-8987952.2299,1997669.6737
"v15901",112.446673584753,571.700962795829,377.284682310661,27.814051638628,94090466529.5675,-8887952.2299,1997669.6737
"v15903",188.727355334169,949.529680034339,817.93040036038,45.9114264241276,138075487907.374,-8787952.2299,1997669.6737
"v15905",86.3803912982779,369.520038752962,540.002734088403,16.7470071959946,32317779929.0906,-8687952.2299,1997669.6737
"v15907",137.370129437519,207.000132463935,513.698540316459,10.4174562173223,319311452100.511,-8587952.2299,1997669.6737
"v15909",141.573261500114,351.276722892052,365.77409041884,15.6533006843992,340378893716.664,-8487952.2299,1997669.6737
"v15911",123.812548547644,482.96772201336,365.583657230764,19.7586452008585,380743339454.31,-8387952.2299,1997669.6737
"v1595",67.947712586613,275.242793740595,125.90383760088,14.6669745512238,71553715774.1802,3712047.7701,-402330.326300001
"v16098",131.549844087059,296.151966508148,389.998009465195,12.6479468422148,143542968178.201,7112047.7701,1997669.6737
"v16278",150.661632398599,1030.14298295031,979.210711490276,58.50270551894,102201571099.217,-8887952.2299,1897669.6737
