"grids","WE","sd_ALT","sd_MAP","sd_MAT","sd_NPP","lon","lat","scale"
"v1018",28352.1687521329,969.858077243528,834.116842448661,45.7392601294818,328067829909.55,-7567530.44516137,-504364.34006549,"400km"
"v1062",14936.9490518208,1232.79865197629,562.718258331405,53.3270610294264,325998759127.857,-7567530.44516137,-904364.34006549,"400km"
"v1111",20234.5601147896,1324.25320193699,601.224817948509,66.4854655571198,261090982559.001,-7167530.44516137,-1304364.34006549,"400km"
"v1150",8406.80698494845,1785.63284823751,1088.88664232934,87.3814706543811,331423171872.751,-6767530.44516137,-1704364.34006549,"400km"
"v1168",7817.96637360349,518.682013567907,236.976097161571,28.3889614098543,322574369779.246,4832469.55483863,-1704364.34006549,"400km"
"v1186",6540.55419251627,1496.52220466765,993.759310984871,67.1076869697682,334153363647.684,-6367530.44516137,-2104364.34006549,"400km"
"v1229",9892.38860615324,302.391091134991,106.221566365791,17.3532321309523,190684291242.203,-3967530.44516137,-2504364.34006549,"400km"
"v1239",8111.69085256096,536.149429460515,339.388123277322,34.4974880291279,215378465545.775,4432469.55483863,-2504364.34006549,"400km"
"v1270",28260.4044801392,359.326431813181,306.679962703837,19.6600763273151,236094284451.873,-4367530.44516137,-2904364.34006549,"400km"
"v1271",6505.04966722194,374.679440952992,207.773819083738,18.5563319438585,258104537462.465,-3967530.44516137,-2904364.34006549,"400km"
"v1279",6744.80769104892,350.452802584821,567.882729831403,17.2373215322576,206968654326.145,4432469.55483863,-2904364.34006549,"400km"
"v1302",7465.27714721325,343.627256219589,166.402744116305,17.1447146710382,182529044321.886,-4767530.44516137,-3304364.34006549,"400km"
"v731",5607.55556668125,801.909292170852,343.222400633395,49.7703551469086,115089550347.048,-9567530.44516137,2295635.65993451,"400km"
"v732",9555.28530743158,704.261382580309,791.926031681411,33.3014766925482,213009757677.702,-9167530.44516137,2295635.65993451,"400km"
"v777",11930.5326641475,752.181323955671,781.42962649157,38.4073491762266,228109051056.531,-8767530.44516137,1895635.65993451,"400km"
"v778",7825.05752363989,437.354818815613,468.60827415058,22.2271943142778,278603107076.016,-8367530.44516137,1895635.65993451,"400km"
"v839",5698.77054539744,433.295910513767,1396.79373943716,23.1314960470182,145994643120.967,7232469.55483863,1495635.65993451,"400km"
"v853",21579.0632957903,678.510659376999,550.527350822982,35.5543015803637,203057493194.906,-7967530.44516137,1095635.65993451,"400km"
"v854",6378.35276722645,233.373880035773,725.431181230982,11.5496297251771,282062107322.334,-7567530.44516137,1095635.65993451,"400km"
"v855",7529.09884773031,687.304310565204,834.992334752387,39.9976798073089,200551405756.855,-7167530.44516137,1095635.65993451,"400km"
"v856",5371.08008282341,738.10316673057,415.736709818125,41.7160598380997,156772440264.075,-6767530.44516137,1095635.65993451,"400km"
"v896",8615.56953791068,420.709988240634,1609.67477881952,18.8220761695435,272880875405.144,-7567530.44516137,695635.65993451,"400km"
"v897",65611.7051163632,1061.66497081744,862.64763881989,59.830484333865,204025925291.245,-7167530.44516137,695635.65993451,"400km"
"v900",7190.97984470192,365.209754659276,771.978752934943,20.2365455780127,173585119885.465,-5967530.44516137,695635.65993451,"400km"
"v909",9532.41369817723,453.849380135961,515.162751509985,21.8674450261199,139016073410.93,832469.55483863,695635.65993451,"400km"
"v929",6254.60662544274,402.331060050641,480.103229031713,19.7583117859681,378007554553.028,11232469.5548386,695635.65993451,"400km"
"v944",31633.6197978956,1064.50121568029,1750.44322051898,52.3934436725472,217121549921.782,-7567530.44516137,295635.65993451,"400km"
