"grids","PE","sd_ALT","sd_MAP","sd_MAT","sd_NPP","lon","lat"
"v10058",11.5874151964259,435.336694445955,335.396429505376,2.48922087752527,NA,-16652645.605,-1737713.04788
"v10060",11.5638165410815,139.544125064392,234.760172968497,0.917912199853616,NA,-16602645.605,-1737713.04788
"v10061",11.1833984862544,185.79719965101,320.087122011045,0.953704063483887,NA,-16552645.605,-1737713.04788
"v10084",6.91366594417402,562.862387213789,71.9369965038615,3.84889567043502,15284319417.9831,-7052645.605,-1737713.04788
"v10088",9.62406991574625,404.958444242672,50.2280023986301,2.35626553764832,32349944610.6209,-6852645.605,-1737713.04788
"v10089",12.5744116051502,767.368800360894,395.372364860527,3.93635091253837,18044787059.1636,-6802645.605,-1737713.04788
"v10090",13.2299411886978,1187.81564772463,1062.37078071271,5.59083904191577,63536778569.925,-6752645.605,-1737713.04788
"v10091",13.0526923268042,348.583773084631,380.411501726106,1.50327652059032,203536278064.221,-6702645.605,-1737713.04788
"v10092",8.97938547591018,398.091635362146,191.268353101147,1.67866970744824,3244896301.53321,-6652645.605,-1737713.04788
"v10271",6.96990455795955,149.374322682583,61.3085451766055,0.607487438083726,151824774152.874,4647354.395,-1737713.04788
"v10273",8.62840938411098,375.138457352857,203.452245840318,2.02122112308762,110542277521.018,4697354.395,-1737713.04788
"v10275",9.24687356991241,431.227868964122,77.888101493806,2.54299075023809,199222680285.499,4747354.395,-1737713.04788
"v10277",8.80195088069367,322.543432326594,86.4003352021202,1.72726831847722,54807982625.4164,4797354.395,-1737713.04788
"v1046",10.3901916470358,295.381741651756,174.262328550752,2.03307012646248,160675407453.385,3647354.395,762286.95212
"v10498",11.336452374309,123.624368237092,214.573841780372,0.827442038511924,NA,-16552645.605,-1787713.04788
"v10545",10.388188588963,384.218622803592,117.848796601366,2.25157354685931,32463351829.5087,-6752645.605,-1787713.04788
"v10546",13.232665146135,837.401222315661,412.596055630432,3.82600333797502,250609371510.711,-6702645.605,-1787713.04788
"v10547",13.0122054251592,326.741070506554,197.67821123232,1.48471896154076,102625093918.586,-6652645.605,-1787713.04788
"v10548",7.94786018312328,340.845510041961,122.014525843653,1.36208327856529,30495666753.1672,-6602645.605,-1787713.04788
"v1071",6.90191891488011,37.6201517752072,332.431055008499,0.167971594362422,336886394061.609,7747354.395,762286.95212
"v1072",6.84207673331115,35.6307203787525,425.701501748252,0.267811455042132,305330767850.463,7797354.395,762286.95212
"v10744",7.02741053962009,331.810687863352,99.9306547373872,1.8575986262068,70835572332.8978,4647354.395,-1787713.04788
"v10746",8.10228053416139,396.710629585111,127.005174420012,2.3817130500982,28126012043.9563,4697354.395,-1787713.04788
"v10748",9.18051352496613,437.473824921553,130.098721714115,2.38184932088513,93997726433.6439,4747354.395,-1787713.04788
"v10750",9.23263765468831,246.201802766488,153.358925270639,1.24967426372069,68362039416.2081,4797354.395,-1787713.04788
"v1081",7.38127811713328,265.238523416633,204.528095151044,1.24997490340696,258632760823.051,11197354.395,762286.95212
"v1082",9.41199142266346,508.768493150639,80.8232030773236,2.66995661345512,164539877639.02,11247354.395,762286.95212
"v1083",7.18044196319059,152.770305546187,198.276331257014,0.727473672244063,8323276579.78018,11297354.395,762286.95212
"v1090",10.242504974752,217.797470333275,142.571693470357,0.814507736127972,292667895051.076,11997354.395,762286.95212
"v1091",10.2796068209589,421.657094978962,324.362253623185,1.69729827543238,151966766636.393,12047354.395,762286.95212
"v1092",9.79371504339801,355.810027534421,319.84202626496,1.35392254118794,278417825452.476,12097354.395,762286.95212
"v1095",7.75409037983627,38.7490494454329,34.6166604060108,0.238182534721183,594885184.860153,-7502645.605,712286.95212
"v1096",9.21923406400746,165.525567200992,710.852954049329,0.843721433792972,230978427680.197,-7452645.605,712286.95212
"v1097",11.8452925851311,40.7157352493088,207.192760495824,0.257425281243996,84673950294.8825,-7402645.605,712286.95212
"v1098",14.5835582499589,809.21962634468,1545.19292690508,4.61973838547002,26734053846.5717,-7352645.605,712286.95212
"v10985",11.1187411352553,503.739293985763,50.4439367195269,2.49731569508977,38671224847.3997,-6702645.605,-1837713.04788
"v10986",11.9093294966964,974.130057309391,197.299496877257,4.91720817473151,215373302413.039,-6652645.605,-1837713.04788
"v10987",10.7480574325039,292.587595154685,100.970673353505,1.15418618383025,64371411817.313,-6602645.605,-1837713.04788
"v1099",11.7392273753664,516.278971667862,96.6624966088976,3.32519150618805,4458452436.03674,-7302645.605,712286.95212
"v1100",12.031853662127,711.53009365638,239.794929477812,4.05692915837942,115507862961.397,-7252645.605,712286.95212
"v1102",10.4182057023881,504.090579649154,317.261505386908,3.00953099702526,96950660582.0534,-7152645.605,712286.95212
"v1103",10.8744682228889,271.11452009388,227.188487057573,1.73540668381112,21215861774.3747,-7102645.605,712286.95212
"v1104",10.6884028367837,260.690673971716,212.681530191747,1.80036987277536,60594231445.8684,-7052645.605,712286.95212
"v1105",9.53587023001687,908.534290088134,353.16934866426,5.29199693646143,222687088693.233,-7002645.605,712286.95212
"v11192",6.78924891401619,139.131560594794,41.0379217723297,0.867235529925427,84162594192.7739,4697354.395,-1837713.04788
"v11193",9.67305722716187,247.664656346629,100.212430449746,1.62182411099371,54669669798.4118,4747354.395,-1837713.04788
"v11194",10.0924368518072,291.729362805889,211.969501588253,1.53385417063124,106433513911.062,4797354.395,-1837713.04788
"v11195",8.65882847673602,55.8818644381686,98.2277414547352,0.375316147041137,NA,4847354.395,-1837713.04788
"v1124",6.78500694119577,318.804306144898,147.701900640296,0.676399178563238,48874582898.6297,-6052645.605,712286.95212
"v1125",8.7618548029029,347.227397700241,118.99129356143,1.14726636846604,53911287689.9577,-6002645.605,712286.95212
"v1126",9.16792989038498,147.204286944204,77.2294373278887,0.621454222889747,137817769937.482,-5952645.605,712286.95212
"v1127",7.47466990528664,210.885877071093,42.1089730396209,0.699776450762178,132127349738.923,-5902645.605,712286.95212
"v1128",7.49644451729419,120.787039944258,39.7607764061549,0.550865162025892,1809183667.04663,-5852645.605,712286.95212
"v11460",11.1470253045121,886.704550267207,114.135484655335,4.76015647211287,197552071853.373,-6652645.605,-1887713.04788
"v11461",12.853452945695,343.901128583293,60.5019788037819,1.34398599853226,127885433004.642,-6602645.605,-1887713.04788
"v11462",7.79510064899507,459.831195443306,151.232891025811,1.80776447532077,84854998975.7999,-6552645.605,-1887713.04788
"v11662",9.67671138835843,94.54023945822,97.3165028565687,0.760781700550822,97494943502.4908,4747354.395,-1887713.04788
"v11663",10.1074795747073,279.772880735054,285.572516832604,1.57655777300223,30056237380.2234,4797354.395,-1887713.04788
"v11664",9.23984065496614,148.694034519593,112.738736257356,0.832590654079932,425283421316.629,4847354.395,-1887713.04788
"v1173",6.75992520659305,75.2202452508114,58.3677506275509,0.322057879077688,58214622658.6054,897354.395,712286.95212
"v1174",10.2781700428915,596.171363469447,205.040413253145,1.9463866385906,67502225838.7254,947354.395,712286.95212
"v1175",9.18518289679145,246.965066684196,46.6999676279631,1.08669880629174,14307738140.7595,997354.395,712286.95212
"v11916",9.41382752778028,694.607188000227,40.5016647947528,3.77985040933793,55469491161.4431,-6652645.605,-1937713.04788
"v11917",11.8402001945399,761.505883740751,165.58528242142,3.20086073089321,234932177145.079,-6602645.605,-1937713.04788
"v11918",11.3334255477043,300.663152954485,89.9035142349939,1.07252389404326,11106459115.632,-6552645.605,-1937713.04788
"v11919",7.40126146214016,205.041110026135,46.0654615949563,0.714916447887258,9715006926.58234,-6502645.605,-1937713.04788
"v12129",9.69853319562122,114.495722960003,147.077879971388,0.941342471355319,90275033193.7243,4747354.395,-1937713.04788
"v12131",9.75854402340626,237.709706967041,358.773513317308,1.0686026420611,263876015604.867,4797354.395,-1937713.04788
"v12133",9.23984065496614,265.319905429301,178.475518657575,1.33680518284666,472451791433.553,4847354.395,-1937713.04788
"v12409",10.4108223157813,986.480696562302,113.098697433617,4.97302791252004,171275367071.283,-6602645.605,-1987713.04788
"v12410",11.9335939968896,405.028944780143,136.425378045598,2.17006441866015,115872558589.92,-6552645.605,-1987713.04788
"v12411",10.2864309748166,311.454468406837,115.663448887787,1.19495146902211,9151101989.54515,-6502645.605,-1987713.04788
"v12412",7.54674334677943,305.825393761352,112.947580450158,1.12922610726881,8932301615.21306,-6452645.605,-1987713.04788
