"grids","WE","sd_ALT","sd_MAP","sd_MAT","sd_NPP","lon","lat"
"v1",1932.85318552375,126.365793525441,201.341682360451,0.704865095433066,210847222280.528,-8087952.2299,1097669.6737
"v1038",2412.56056137057,102.622921112314,69.3434615982379,0.5936999119435,72834993696.6403,2812047.7701,97669.6736999992
"v1039",3107.44706559992,568.82882767032,170.714505816526,3.20319180051938,129473653394.955,2912047.7701,97669.6736999992
"v1043",1574.78716555034,583.757232419707,197.73233295063,3.40803268647579,62648713362.0434,3312047.7701,97669.6736999992
"v1044",1786.56826305625,413.726137423625,189.001491697087,2.3207963680458,71979812795.7976,3412047.7701,97669.6736999992
"v1045",1333.36586217834,400.518232739369,77.5383343489613,2.90571908120314,87282798238.794,3512047.7701,97669.6736999992
"v1046",1445.95900284947,261.424443143718,162.057340859493,1.79336048425659,100275856803.954,3612047.7701,97669.6736999992
"v1091",2615.4722629429,112.894085736036,600.553440988344,0.489329658847989,89842688905.8752,-7687952.2299,-2330.32630000077
"v1092",8865.34891219754,1014.70991826744,665.719295155653,4.8048375656196,73645719608.6279,-7587952.2299,-2330.32630000077
"v1093",9509.20964737986,1197.85729490533,924.083194958364,6.15878382831198,281308660012.35,-7487952.2299,-2330.32630000077
"v1094",2517.185315176,27.4316290608019,150.646544518856,0.174613042180165,8443099752.52118,-7387952.2299,-2330.32630000077
"v11",1739.63539888922,517.097019412261,246.868445624072,3.3905609340878,138386031076.746,-7087952.2299,1097669.6737
"v113",2000.5587100429,192.145392887096,384.216232603754,1.12299588631052,274817880394.671,-7587952.2299,997669.673699999
"v114",5525.06452765893,296.7115641922,329.673383833794,1.59219848829666,66243441022.0685,-7487952.2299,997669.673699999
"v1142",2951.34473710393,425.173432442115,142.979423729639,2.64878520674754,160249278240.42,2812047.7701,-2330.32630000077
"v1143",2514.97326987975,513.696902986515,201.46804283852,2.84269729486798,171121237831.825,2912047.7701,-2330.32630000077
"v1147",1379.30954256104,132.090725136875,343.766231503947,0.742187253846448,269901570332.247,3312047.7701,-2330.32630000077
"v1148",2511.77885574088,438.206618423676,229.573456368637,2.64742608368269,95180028767.831,3412047.7701,-2330.32630000077
"v1149",1821.055692228,421.16824523555,165.467607767497,2.7002201953384,78257098320.9406,3512047.7701,-2330.32630000077
"v115",2530.73787676136,240.861918940556,360.723761940886,1.27649515282359,95536064705.9254,-7387952.2299,997669.673699999
"v1150",1716.76878273014,696.298336984347,390.89791661427,3.80316713820126,138494918107.206,3612047.7701,-2330.32630000077
"v116",2008.84030411962,222.944202977361,462.684589583693,1.42156967149376,110374203407.995,-7287952.2299,997669.673699999
